Player,Fifth_PTS,Third_PTS,April_PTS
Robert Covington,1,22,3
Dario Saric,11,14,12
Joel Embiid,22,20,31
JJ Redick,18,23,20
Ben Simmons,16,1,18
Marco Belinelli,12,11,11
Ersan Ilyasova,14,4,6
T.J. McConnell,4,8,0
