"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1766","Let‚Äôs close this shit out @celtics 
‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è",FALSE,0,NA,2018-05-07 22:02:55,FALSE,NA,"993612164861693952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ruanooo",0,FALSE,FALSE,NA,NA
"1767","Alright Celtics put em away.",FALSE,0,NA,2018-05-07 22:02:54,FALSE,NA,"993612163636977668",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","comedy_motion",0,FALSE,FALSE,NA,NA
"1768","Celtics at 6, Capitals at 7, Cavs at 8:30. Big night for my remote thumb",FALSE,14,NA,2018-05-07 22:02:54,FALSE,NA,"993612163452493825",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","BenVolin",0,FALSE,FALSE,NA,NA
"1769","Gotta love having Kevin McHale calling all the Sixers-Celtics games. Have to love it as a Sixers fan. They couldn‚Äôt‚Ä¶ https://t.co/XnrtO7SLn5",FALSE,2,NA,2018-05-07 22:02:53,TRUE,NA,"993612159715364864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MattyEwwwllari",0,FALSE,FALSE,NA,NA
"1770","¬°Qu√© pena! Pongo el partido de losÌ†ºÌΩÄ @celtics Ì†ºÌΩÄy est√° Jos√© Ajero comentando....@MovistarBasket @MovistarNBA @NBAspain",FALSE,0,NA,2018-05-07 22:02:53,FALSE,NA,"993612159472013317",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PatriDuarte",0,FALSE,FALSE,NA,NA
"1771","LET‚ÄôS GO CELTICS!",FALSE,0,NA,2018-05-07 22:02:53,FALSE,NA,"993612158134030337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ThomasT",0,FALSE,FALSE,NA,NA
"1772","Gammmmee time!! #CUsRise @celtics #Boston #celtics #NBAPlayoffs #nba https://t.co/jUBLVi2DvJ",FALSE,0,NA,2018-05-07 22:02:52,FALSE,NA,"993612155365638144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dunaj_Andrew",0,FALSE,FALSE,NA,NA
"1773","Celtics/Sixers. Game 4. IT‚ÄôS GOING DOWN.",FALSE,1,NA,2018-05-07 22:02:52,FALSE,NA,"993612152106713088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheNoLookPass",0,FALSE,FALSE,NA,NA
"1774","@fedetoral Juegan los Celtics fede!! Jaja",FALSE,0,"fedetoral",2018-05-07 22:02:51,FALSE,"993611636303974400","993612150001360897","336113401","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nochudeleste",0,FALSE,FALSE,NA,NA
"1775","@Va_le_28 Ma pure tu tifi celtics? Da quando?Ì†ΩÌ∏Ç",FALSE,1,"Va_le_28",2018-05-07 22:02:51,FALSE,"993610260597309440","993612149963542529","489717311","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MatteDj23",0,FALSE,FALSE,NA,NA
"1776","SUBIU A BOLA!

#NBAPlayoffs #NBAnoSporTV #CUsRise",FALSE,4,NA,2018-05-07 22:02:50,FALSE,NA,"993612145760899072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Celtics_Brasil",1,FALSE,FALSE,NA,NA
"1777","Let‚Äôs go Celtics Ì†ΩÌ¥•Ì†ΩÌ≤∏Ì†ΩÌ≤∏",FALSE,0,NA,2018-05-07 22:02:50,FALSE,NA,"993612145580527616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","just2nic3",0,FALSE,FALSE,NA,NA
"1778","Boston Celtics (3)
@
Philadelphia Sixers (0)

Playoffs #NBA Game 4
Semi-final eastern conference
#Celtics‚Ä¶ https://t.co/QlehcUNr4T",FALSE,0,NA,2018-05-07 22:02:50,TRUE,NA,"993612143311425537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NikoB19",0,FALSE,FALSE,NA,NA
"1779","Let's go #celtics #CUsRise",FALSE,3,NA,2018-05-07 22:02:49,FALSE,NA,"993612142569050112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","are_jayy25",1,FALSE,FALSE,NA,NA
"1780","subiu a bola laranja na Philadelphia, jogando #Celtics x #76Ers  #nba #NBAPlayoffs  #game4 Ì†ºÌøÄ",FALSE,0,NA,2018-05-07 22:02:49,FALSE,NA,"993612141356871686",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","constancio_fe",0,FALSE,FALSE,NA,NA
"1781","Celtics fans: @celticsblog 

76ers fans: @Liberty_Ballers 

Ì†ΩÌ≥∫ TNT https://t.co/XREuhTeNym",FALSE,4,NA,2018-05-07 22:02:48,FALSE,NA,"993612137862868993",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SBNation",1,FALSE,FALSE,NA,NA
"1782","Me llama usted, entonces voy @celtics vamos carajo ! https://t.co/7oysFMasMC",FALSE,0,NA,2018-05-07 22:02:46,FALSE,NA,"993612128065028098",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jamn_24",0,FALSE,FALSE,NA,NA
"1783","@sixers @NBAonTNT @975TheFanatic @RothmanOrtho Why are Celtics announcers calling the game in Philly..Ì†ΩÌ∏°",FALSE,0,"sixers",2018-05-07 22:02:46,FALSE,"993603881710989312","993612126995480576","16201775","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MatthewScholz3",0,FALSE,FALSE,NA,NA
"1784","Holy moly let‚Äôs go celtics ‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è",FALSE,3,NA,2018-05-07 22:02:45,FALSE,NA,"993612125317877760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MollyJane23",0,FALSE,FALSE,NA,NA
"1785","What-2-Watch-2night:
6pm Celtics @ 76ers Game 4 
(BOS leads 3-0)

7pm Capitals @ Penguins Game 6
(WSH leads 3-2)

8‚Ä¶ https://t.co/l2rOpsjqkM",FALSE,1,NA,2018-05-07 22:02:45,TRUE,NA,"993612123333939200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FSMBlitz",1,FALSE,FALSE,NA,NA
"1786","Celtics Celtics go away how many bodies will Embiid  catch today? Ì†æÌ¥î #NBA #Playoffs #76ers  #Philadelphia #NBAPlayofffs",FALSE,0,NA,2018-05-07 22:02:44,FALSE,NA,"993612121626816513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ry_ry_23",0,FALSE,FALSE,NA,NA
"1787","Let's go Celtics! ‚Äî watching Boston Celtics vs Philadelphia 76ers",FALSE,0,NA,2018-05-07 22:02:44,FALSE,NA,"993612120108486657",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","_Boizee",0,FALSE,FALSE,NA,NA
"1788","GET THIS W @CELTICS",FALSE,9,NA,2018-05-07 22:02:42,FALSE,NA,"993612112114012161",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_Njay3",4,FALSE,FALSE,NA,NA
"1789","lets go Celtics close this out",FALSE,0,NA,2018-05-07 22:02:40,FALSE,NA,"993612103851433984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GMan2434",0,FALSE,FALSE,NA,NA
"1790","Celtics and 76ers preparing for tip-off just after 6pm. Tough start time  for a playoff game. the Wells Fargo Center looks empty #celtics",FALSE,1,NA,2018-05-07 22:02:40,FALSE,NA,"993612101791961088",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NBC10_Joe",0,FALSE,FALSE,NA,NA
"1791","@sixers @celtics @Toyota @BenSimmons25 @TJMcConnell @JJRedick @dariosaric @JoelEmbiid Here comes the comeback!!! #SixersIn7",FALSE,0,"sixers",2018-05-07 22:02:40,FALSE,"993608152284389376","993612101368401921","16201775","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","APortillo21",0,FALSE,FALSE,NA,NA
"1792","VAMOS CELTICS!!! #CelticsSmash #TheHulk #Celtics",FALSE,0,NA,2018-05-07 22:02:39,FALSE,NA,"993612098222612480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShaktiArgentina",0,FALSE,FALSE,NA,NA
"1793","@ // celtics good luck my loves Ì†ΩÌ≤ï",FALSE,0,NA,2018-05-07 22:02:37,FALSE,NA,"993612091868131334",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mariiecal",0,FALSE,FALSE,NA,NA
"1794","Let‚Äôs Go Celtics!!! ‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è",FALSE,2,NA,2018-05-07 22:02:37,FALSE,NA,"993612090299568129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marianavitorato",0,FALSE,FALSE,NA,NA
"1795","Celtics 109 Sixers 104",FALSE,0,NA,2018-05-07 22:02:35,FALSE,NA,"993612082380668929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","QGotNoRings",0,FALSE,FALSE,NA,NA
"1796","LETS GO CELTICS BABY!!!!!",FALSE,0,NA,2018-05-07 22:02:34,FALSE,NA,"993612080212258816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EJR023",0,FALSE,FALSE,NA,NA
"1797","It‚Äôs Game Time (@Celtics) #CUsRise Ì†ºÌΩÄ",FALSE,0,NA,2018-05-07 22:02:34,FALSE,NA,"993612078584868866",NA,"<a href=""http://tweetlogix.com"" rel=""nofollow"">Tweetlogix</a>","talkyo_ISH",0,FALSE,FALSE,NA,NA
"1798","LETS GO CELTICS! #CELTICS #CUSRISE",FALSE,0,NA,2018-05-07 22:02:34,FALSE,NA,"993612076911296515",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Celtics_Cowboys",0,FALSE,FALSE,NA,NA
"1799","@sixers @celtics @Toyota @BenSimmons25 @TJMcConnell @JJRedick @dariosaric @JoelEmbiid I said this Saturday lmaoooo‚Ä¶ https://t.co/0jaeqNty7m",FALSE,0,"sixers",2018-05-07 22:02:30,TRUE,"993608152284389376","993612062759768064","16201775","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","samjenkinsTTP",0,FALSE,FALSE,NA,NA
"1800","Finish them @celtics",FALSE,0,NA,2018-05-07 22:02:30,FALSE,NA,"993612061832818694",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hodgyson1",0,FALSE,FALSE,NA,NA
"1801","Ce soir le match 4 #Celtics @ #Heretheycome important pour #TTFL et notre √©quipe @JRWesson_TTFL #jerseyaddict https://t.co/q0o5F9E6m7",FALSE,0,NA,2018-05-07 22:02:28,FALSE,NA,"993612054060781570",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gylbret",1,FALSE,FALSE,NA,NA
