"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"617","@MichaelGRubin @sixers @JoelEmbiid Way to alienate your fan-base by glorifying a convicted felon who makes  homeles‚Ä¶ https://t.co/f7MBygv7h5",FALSE,1,"MichaelGRubin",2018-05-07 22:33:32,TRUE,"993564156447154176","993619871379292160","4202878276","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EvansStudio",0,FALSE,FALSE,NA,NA
"618","It's do-or-die for the @sixers tonight and @JoelEmbiid is playing his part early on!

He has 5 PTS, 5 REB &amp; 2 AST f‚Ä¶ https://t.co/tFy0HP77s2",FALSE,2,NA,2018-05-07 22:33:32,TRUE,NA,"993619871052288001",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NBAFantasy",0,FALSE,FALSE,NA,NA
"619","@Jamil_I_Am @sixers @celtics @Toyota @BenSimmons25 @TJMcConnell @JJRedick @dariosaric @JoelEmbiid @Holla_At_Rob33 T‚Ä¶ https://t.co/paB2UI738F",FALSE,0,"Jamil_I_Am",2018-05-07 22:33:32,TRUE,"993610736302731264","993619870968373250","451857526","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DHoldsman",0,FALSE,FALSE,NA,NA
"620","If Simmons switched to SF and Covington came off the bench with either Fultz or McConnell(preferably McConnell)runn‚Ä¶ https://t.co/MUg19N7yR3",FALSE,0,NA,2018-05-07 22:33:31,TRUE,NA,"993619865377411072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UcheTheActivist",0,FALSE,FALSE,NA,NA
"621","@Liberty_Ballers This style never really benefits the Sixers though.",FALSE,0,"Liberty_Ballers",2018-05-07 22:33:30,FALSE,"993619543913304064","993619862856634368","323995477","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lordhamlet73",0,FALSE,FALSE,NA,NA
"622","Can someone please put together a video of just clips of @aronbaynes from the @celtics head snapping back like some‚Ä¶ https://t.co/E4BovQnolF",FALSE,0,NA,2018-05-07 22:33:29,TRUE,NA,"993619858393894914",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TWise10",0,FALSE,FALSE,NA,NA
"623","@jelynchjr I had an issue trading Saric, Fultz, and a 1st round pick for Kawhi Leonard mainly because of not wantin‚Ä¶ https://t.co/mzCZggzwRd",FALSE,0,"jelynchjr",2018-05-07 22:33:29,TRUE,"993613376143151104","993619857299116033","633900194","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","philabirds215",0,FALSE,FALSE,NA,NA
"624","Idc. Philly going home tonight #DontTrustTheProcess #Sixers #celticsvs76ers #BOSvsPHI",FALSE,0,NA,2018-05-07 22:33:28,FALSE,NA,"993619855986196481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamTimmy",0,FALSE,FALSE,NA,NA
"625","Philadelphia down 1 at the end of the 1st. Will we see Fultz? Or is Brett Brown going to get swept. #Philadelphia‚Ä¶ https://t.co/sHPC7QYiTF",FALSE,0,NA,2018-05-07 22:33:27,TRUE,NA,"993619852173762567",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SportReport12",0,FALSE,FALSE,NA,NA
"626","@bossmanberg @sixers On a similar note has anyone ever won a championship despite being an underdog in all four gam‚Ä¶ https://t.co/MZCktiBBSF",FALSE,0,"bossmanberg",2018-05-07 22:33:27,TRUE,"993616696341655552","993619851708190721","104891758","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RealJMaz",0,FALSE,FALSE,NA,NA
"627","Hey #Sixers, whoever is on the firecracker whistle at the @WellsFargoCtr needs to take a friggin break.  I heard hi‚Ä¶ https://t.co/YTjssEwznQ",FALSE,1,NA,2018-05-07 22:33:27,TRUE,NA,"993619850605056001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AllAshworth",0,FALSE,FALSE,NA,NA
"628","Sixers er bare fejl p√• fejl p√• fejl. Fremragende disciplin af Boston hidtil! #CUsRise",FALSE,0,NA,2018-05-07 22:33:26,FALSE,NA,"993619846914068482",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LifeofRablo",0,FALSE,FALSE,NA,NA
"629","@celtics To hear these announcers call it though, you‚Äôd think the Sixers were running away with it. More respect ne‚Ä¶ https://t.co/tCgshnrZiU",FALSE,0,"celtics",2018-05-07 22:33:26,TRUE,"993619509880803330","993619843978014728","18139461","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","cait_harding",0,FALSE,FALSE,NA,NA
"630","@sixers shoot 3‚Äôs like they the @warriors .  Smh , I understand the pace of the offense but when the shots aren‚Äôt f‚Ä¶ https://t.co/g0JyIzprym",FALSE,0,"sixers",2018-05-07 22:33:25,TRUE,NA,"993619841230802945","16201775","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClassicEdge1983",0,FALSE,FALSE,NA,NA
"631","Hmmmm #Sixers are tired ??? Maybe cuz the coach is only playing 7 guys in a fucking rotation and their being pushed‚Ä¶ https://t.co/o7Kkwl00io",FALSE,1,NA,2018-05-07 22:33:23,TRUE,NA,"993619834654126080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beetlebayley219",1,FALSE,FALSE,NA,NA
"632","Covington is worth every penny the @sixers paid him #TweetSomeDumbShit",FALSE,1,NA,2018-05-07 22:33:23,FALSE,NA,"993619834624765952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Air_Jordan33",0,FALSE,FALSE,NA,NA
"633","Sixers 1Q -1.5 ‚ùå

Awful shooting could've gone either way... 

Time to crush some MLB and go for our 9th straight winning day Ì†ΩÌ¥•",FALSE,0,"BtomWins",2018-05-07 22:33:23,FALSE,"993608262632140800","993619832909148160","788588152529227776","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BtomWins",0,FALSE,FALSE,NA,NA
"634","Can we like, try to play in the paint please ? #sixers",FALSE,1,NA,2018-05-07 22:33:22,FALSE,NA,"993619827171438592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Moekrig",0,FALSE,FALSE,NA,NA
"635","I really hope the sixers don‚Äôt get swept",FALSE,0,NA,2018-05-07 22:33:21,FALSE,NA,"993619825867087874",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zaytana",0,FALSE,FALSE,NA,NA
"636","Analysis: #Sixers gonna have to make more shots",FALSE,0,NA,2018-05-07 22:33:20,FALSE,NA,"993619820213161986",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThreeSixRW",0,FALSE,FALSE,NA,NA
"637","@whosyourgaddie You and @PatrickBrickman! As far as the Sixers game rn...Ì†ΩÌπèÌ†ºÌøΩÌ†ΩÌπèÌ†ºÌøΩÌ†æÌ¥ûÌ†ºÌøΩÌ†æÌ¥ûÌ†ºÌøΩÌ†ΩÌ∏≠ is all I got",FALSE,1,"whosyourgaddie",2018-05-07 22:33:18,FALSE,"993599234359414790","993619812428414976","559633358","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carlymascittiTV",0,FALSE,FALSE,NA,NA
"638","@sixers Cut Cov",FALSE,3,"sixers",2018-05-07 22:33:18,FALSE,"993619749832572929","993619812004847617","16201775","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","JCole_301",0,FALSE,FALSE,NA,NA
"639","The Sixers will kill me one day",FALSE,0,NA,2018-05-07 22:33:16,FALSE,NA,"993619804081795072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheJoshyP",0,FALSE,FALSE,NA,NA
"640","Fin du 1er quart-temps : 22-21 Celtics. Peu de points inscrits. On est en grosse difficult√© sur le plan offensif ! #PhilaUnite",FALSE,0,NA,2018-05-07 22:33:15,FALSE,NA,"993619801040982016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FR_Sixers",0,FALSE,FALSE,NA,NA
"641","Sixers are just not as good as the Celtics yet and it is pretty clear. A good defensive first quarter and they‚Äôre still losing.",FALSE,1,NA,2018-05-07 22:33:15,FALSE,NA,"993619800357093376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hes_irrelAVant",1,FALSE,FALSE,NA,NA
"642","Sixers please just win this one okay @sixers",FALSE,0,NA,2018-05-07 22:33:15,FALSE,NA,"993619800172703744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Makyle_Ice",0,FALSE,FALSE,NA,NA
"643","#NBA Final del primer cuarto.
@celtics 21 @sixers 22

#CUsRise Ì†ºÌ∂ö #PhilaUnite 
#PLAYOFFSxNBARG",FALSE,0,NA,2018-05-07 22:33:14,FALSE,NA,"993619797203177473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nbargoficial",0,FALSE,FALSE,NA,NA
"644","@sixers Wait it‚Äôs his only points in the 1st quarter.. Ì†ΩÌ∏Ç",FALSE,0,"sixers",2018-05-07 22:33:13,FALSE,"993614902261514240","993619789703729152","16201775","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrisHa37986068",0,FALSE,FALSE,NA,NA
"645","Ambos os times mal em arremessos, mas o Celtics t√° pior. O que t√° nos salvando s√£o os lances livres (8/10).

No lad‚Ä¶ https://t.co/Mzm9vkvQdo",FALSE,1,NA,2018-05-07 22:33:12,TRUE,NA,"993619788286095360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Celtics_Brasil",1,FALSE,FALSE,NA,NA
"646","Simmons has started aggressively
Shooting more, 1-4 FG
6 rebounds already - game high

End of Q1
@celtics 22‚Ä¶ https://t.co/7Hg9a4C7Ut",FALSE,0,NA,2018-05-07 22:33:11,TRUE,NA,"993619783873638405",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","duncanmcmc",0,FALSE,FALSE,NA,NA
"647","Sixers trailing after Q1 by 1 point is not bad. Still not convinced team has ability to get hot offensively against this Celtics team.",FALSE,0,NA,2018-05-07 22:33:11,FALSE,NA,"993619782560763904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","milroyigglesfan",0,FALSE,FALSE,NA,NA
"648","Tweety is going to say the bet doesn‚Äôt count if the Sixers lose because he sent the play with 3-4 minutes to spare. #TweetyFadesÌ†ΩÌ∞£",FALSE,4,NA,2018-05-07 22:33:10,FALSE,NA,"993619780576800768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TweetyFades",1,FALSE,FALSE,NA,NA
"649","Who wins Game 4 of the Eastern Conference semifinals between the @sixers and @celtics?",FALSE,0,NA,2018-05-07 22:33:10,FALSE,NA,"993619777364119552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","daves_joint",0,FALSE,FALSE,NA,NA
"650","I‚Äôm not gonna count the Sixers out......it‚Äôll be just they‚Äôre luck that they win tonight and some how take it to ga‚Ä¶ https://t.co/QmfHNGbZJF",FALSE,0,NA,2018-05-07 22:33:08,TRUE,NA,"993619770665721856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kiingxlouiie",0,FALSE,FALSE,NA,NA
"651","Boston leads the Sixers 22-21 at the end of the first quarter. #HereTheyCome",FALSE,5,NA,2018-05-07 22:33:06,FALSE,NA,"993619763808165889",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","975TheFanatic",0,FALSE,FALSE,NA,NA
"652","On screen nba playoffs sixers vs celtics",FALSE,0,NA,2018-05-07 22:33:06,FALSE,NA,"993619763547881472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeeyaaaaar",0,FALSE,FALSE,NA,NA
"653","Let‚Äôs go Sixers! @ Sixers Game at Wells Fargo Center https://t.co/tnNTR6PSBn",FALSE,0,NA,2018-05-07 22:33:04,FALSE,NA,"993619753338982400",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LMBloom8",0,FALSE,FALSE,"-75.17154775","39.90138992"
"654","Really weird to watch the Sixers in this game.  Whole teams looks mad, but hey have no unity and no purpose.  They‚Ä¶ https://t.co/TYewIiTLAz",FALSE,0,NA,2018-05-07 22:33:04,TRUE,NA,"993619752940552192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","denverfinfan",1,FALSE,FALSE,NA,NA
"655","TÃ∂hÃ∂iÃ∂rÃ∂dÃ∂ second time's a charm. https://t.co/lpROliqSXB",FALSE,153,NA,2018-05-07 22:33:03,FALSE,NA,"993619749832572929",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","sixers",26,FALSE,FALSE,NA,NA
"656","Quand tu rentres chez toi content pour voir le match 4 de la serie de PO   Celtics Vs Sixers mais  qu'en fait‚Ä¶ https://t.co/72cBgmqo7T",FALSE,0,NA,2018-05-07 22:33:03,TRUE,NA,"993619749354528768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaShades1",1,FALSE,FALSE,NA,NA
"657","@ZERTZ_86 @sixers Don‚Äôt have to win four games tonight, just one",FALSE,1,"ZERTZ_86",2018-05-07 22:33:02,FALSE,"993618235722469376","993619745718054912","350020705","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kevinlebo",0,FALSE,FALSE,NA,NA
"658","@sixers Better than dropping confetti...
#toosoon ? Go @celtics!!!!",FALSE,0,"sixers",2018-05-07 22:33:02,FALSE,"993614902261514240","993619743449014274","16201775","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheEricRusso",0,FALSE,FALSE,NA,NA
"659","JJ Redick is 3/6 from the field after one quarter. The rest of the team is 5-19. That level of shooting won't help the Sixers avoid a sweep.",FALSE,1,NA,2018-05-07 22:33:01,FALSE,NA,"993619742287171584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DennisChambers_",0,FALSE,FALSE,NA,NA
"660","Should be
PG - TJ
SG - JJ
SF - Simmons
PF - Saric
C - Embiid

Imo https://t.co/SIDl8nxN7Q",FALSE,0,NA,2018-05-07 22:33:01,FALSE,NA,"993619741783797762",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","T0928Tucker",0,FALSE,FALSE,NA,NA
"661","@Christie_Ileto @sixers @6abc I love you @Christie_Ileto but errrruhhhhh your 76ers DONE tonight!  Ì†æÌ¥∑Ì†ºÌøΩ‚Äç‚ôÇÔ∏è",FALSE,0,"Christie_Ileto",2018-05-07 22:33:00,FALSE,"993616168064815104","993619738260582401","23236057","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","b_matt2",0,FALSE,FALSE,NA,NA
"662","It's do or die for the Sixers right let's go! Ì†ºÌøÄ",FALSE,0,NA,2018-05-07 22:33:00,FALSE,NA,"993619736163368960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JustinJmolina92",0,FALSE,FALSE,NA,NA
"663","I bet @Robert_Dinero_ took sixers -7 cause it‚Äôs free money",FALSE,0,NA,2018-05-07 22:32:59,FALSE,NA,"993619733655244800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","koyas11",0,FALSE,FALSE,NA,NA
"664","#Celtics lead the Sixers 22-21 after the first quarter of Game 4. 

Celts shoot 30%, Philly shoots 32%; ugly offens‚Ä¶ https://t.co/YoBhsL7UWP",FALSE,3,NA,2018-05-07 22:32:59,TRUE,NA,"993619733105737733",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BloodRunsGreen_",0,FALSE,FALSE,NA,NA
"665","@JRawlins6abc Sixers have a 60 million dollar hole in there lineup while penthouse has a 130 thousand dollar hole dancing tonight",FALSE,0,"JRawlins6abc",2018-05-07 22:32:59,FALSE,"993556654737297408","993619730740187138","237872642","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NatMLeonard",0,FALSE,FALSE,NA,NA
"666","End of the first quarter.
Celtics 22, Sixers 21",FALSE,0,NA,2018-05-07 22:32:57,FALSE,NA,"993619725388263427",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1037WEEIFM",0,FALSE,FALSE,NA,NA
"667","Trusting. Processing. #sixers https://t.co/1KgG9Gnszy",FALSE,0,NA,2018-05-07 22:32:57,FALSE,NA,"993619723110764544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kheller",0,FALSE,FALSE,NA,NA
"668","Celtics lead 22-21 at the end of a low-scoring first quarter. Sixers shooting 33.3% from the field, C's just 26.3%.",FALSE,4,NA,2018-05-07 22:32:57,FALSE,NA,"993619722330664960",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","WEEI",0,FALSE,FALSE,NA,NA
"669","The sixers may not pull this off tbh.. #Sixers",FALSE,0,NA,2018-05-07 22:32:55,FALSE,NA,"993619716819247104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Choyle7",0,FALSE,FALSE,NA,NA
"670","Don't pull a Philly, @sixers",FALSE,0,NA,2018-05-07 22:32:55,FALSE,NA,"993619714445262849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CthruHD",0,FALSE,FALSE,NA,NA
